Id	Description
Q44776	Q44776
Q44775	Q44775
O51253	O51253
O51451	O51451
O51652	O51652
O51532	O51532
O51698	O51698
O51457	O51457
O51337	O51337
O51628	O51628
Q59188	Q59188
O51708	O51708
O51061	O51061
O51062	O51062
O51381	O51381
O51265	O51265
O51221	O51221
O51266	O51266
O51145	O51145
O51222	O51222
O51388	O51388
O51425	O51425
O51623	O51623
O51624	O51624
O51549	O51549
Q44912	Q44912
O51081	O51081
O51273	O51273
O51595	O51595
O50980	O50980
O51079	O51079
O51398	O51398
O51674	O51674
O51234	O51234
O51597	O51597
O51752	O51752
O51114	O51114
O51235	O51235
O51356	O51356
O51631	O51631
O50667	O50667
O51729	O51729
O50917	O50917
H7C7N8	H7C7N8
O51083	O51083
O51041	O51041
O51089	O51089
O51522	O51522
O51369	O51369
O51526	O51526
