Id	Description	Localization	Epitopes	N-Glyc
Q44776	Q44776	CytoplasmicMembrane	0	0
Q44775	Q44775	CytoplasmicMembrane	0	0
O51253	O51253	CytoplasmicMembrane	0	0
O51451	O51451	CytoplasmicMembrane	0	0
O51652	O51652	Cytoplasmic	0	0
O51532	O51532	Cytoplasmic	0	0
O51698	O51698	Cytoplasmic	0	0
O51457	O51457	Cytoplasmic	0	0
O51337	O51337	CytoplasmicMembrane	0	0
O51628	O51628	Cytoplasmic	0	0
Q59188	Q59188	CytoplasmicMembrane	0	0
O51708	O51708	CytoplasmicMembrane	0	0
O51061	O51061	CytoplasmicMembrane	0	0
O51062	O51062	CytoplasmicMembrane	0	0
O51381	O51381	Unknown	0	0
O51265	O51265	CytoplasmicMembrane	0	0
O51221	O51221	Cytoplasmic	0	0
O51266	O51266	CytoplasmicMembrane	0	0
O51145	O51145	CytoplasmicMembrane	0	0
O51222	O51222	Cytoplasmic	0	0
O51388	O51388	Cytoplasmic	0	0
O51425	O51425	CytoplasmicMembrane	0	0
O51623	O51623	CytoplasmicMembrane	0	0
O51624	O51624	CytoplasmicMembrane	0	0
O51549	O51549	CytoplasmicMembrane	0	0
Q44912	Q44912	Cytoplasmic	1	0
O51081	O51081	Unknown	0	0
O51273	O51273	CytoplasmicMembrane	0	0
O51595	O51595	CytoplasmicMembrane	0	0
O50980	O50980	CytoplasmicMembrane	1	0
O51079	O51079	CytoplasmicMembrane	0	0
O51398	O51398	CytoplasmicMembrane	0	0
O51674	O51674	CytoplasmicMembrane	0	0
O51234	O51234	CytoplasmicMembrane	0	0
O51597	O51597	CytoplasmicMembrane	0	0
O51752	O51752	Cytoplasmic	0	0
O51114	O51114	Unknown	0	0
O51235	O51235	CytoplasmicMembrane	0	0
O51356	O51356	CytoplasmicMembrane	0	0
O51631	O51631	Unknown	0	0
O50667	O50667	CytoplasmicMembrane	0	0
O51729	O51729	CytoplasmicMembrane	1	0
O50917	O50917	Cytoplasmic	3	1
H7C7N8	H7C7N8	OuterMembrane	2	1
O51083	O51083	CytoplasmicMembrane	0	0
O51041	O51041	Cytoplasmic	0	0
O51089	O51089	Cytoplasmic	0	0
O51522	O51522	Cytoplasmic	0	0
O51369	O51369	CytoplasmicMembrane	0	0
O51526	O51526	Cytoplasmic	0	0
