SEQENCE ID                     TM SP PREDICTION
O51076                          0  0 o
O51312                          0  0 o
P70826                          0  0 o
Q07337                          0  Y n6-17c22/23o
O51125                          0  0 o
O51173                          0  0 o
O51263                          0  0 o
O51396                          0  0 o
O51418                          0  0 o
O51522                          0  Y n7-18c25/26o
O51578                          0  0 o
O51752                          0  0 o
O51767                          0  0 o
P0CL64                          0  0 o
P0CL66                          0  Y n5-16c23/24o
P46795                          0  0 o
P49058                          0  0 o
Q45032                          0  0 o
Q59190                          0  0 o
O07497                          0  0 o
O30563                          0  0 o
O30564                          0  0 o
O50161                          0  0 o
O50163                          0  0 o
O50917                          1  0 o12-30i
O50965                          0  0 o
O51038                          0  0 o
O51041                          3  0 o13-31i43-60o66-83i
O51057                          0  0 o
O51066                          0  0 o
O51075                          0  0 o
O51103                          0  0 o
O51114                          0  Y n7-15c22/23o
O51115                          0  0 o
O51126                          0  0 o
O51132                          0  Y n17-27c31/32o
O51182                          0  0 o
O51218                          0  0 o
O51219                          0  0 o
O51233                          0  Y n4-11c16/17o
O51236                          0  0 o
O51238                          0  0 o
O51243                          0  0 o
O51244                          0  0 o
O51253                          7  Y n5-15c19/20o29-45i52-71o77-103i124-142o154-176i183-202o486-504i
O51257                          0  0 o
O51265                          8  0 i7-31o37-55i76-93o99-116i128-145o151-169i181-199o211-229i
O51266                          5  0 o17-37i58-79o99-117i138-157o172-193i
O51273                          7  Y n4-11c15/16o39-59i86-106o112-132i144-164o184-202i214-234o246-264i
O51293                          0  0 o
O51323                          0  0 o
O51338                          0  0 o
O51343                          0  0 o
O51344                          0  0 o
O51345                          0  0 o
O51348                          0  0 o
O51349                          0  0 o
O51363                          0  0 o
O51378                          0  0 o
O51401                          0  0 o
O51402                          0  0 o
O51413                          0  0 o
O51419                          0  0 o
O51423                          0  0 o
O51425                          4  0 i7-25o72-90i95-113o144-163i
O51428                          0  0 o
O51444                          0  0 i
O51448                          0  0 o
O51455                          0  0 o
O51477                          0  0 o
O51497                          0  0 o
O51498                          0  0 o
O51502                          0  0 o
O51508                          0  0 o
O51509                          0  0 o
O51519                          0  0 o
O51528                          0  0 o
O51532                          1  0 o12-30i
O51536                          0  0 o
O51544                          0  0 o
O51545                          0  0 o
O51547                          0  0 o
O51555                          0  0 o
O51556                          0  0 o
O51557                          0  0 o
O51558                          0  0 o
O51563                          0  0 o
O51567                          0  0 o
O51568                          0  0 o
O51571                          0  0 o
O51575                          0  0 o
O51577                          0  0 o
O51581                          0  0 o
O51587                          0  0 o
O51601                          0  0 o
O51602                          0  0 o
O51604                          0  Y n3-10c15/16o
O51624                          2  0 i7-30o320-341i
O51625                          0  Y n3-11c16/17o
O51627                          0  0 o
O51645                          0  0 o
O51648                          0  0 o
O51653                          0  0 o
O51662                          0  0 o
O51669                          0  0 o
O51672                          0  0 o
O51674                          1  0 i16-36o
O51680                          0  0 o
O51683                          0  0 i
O51696                          0  0 o
O51698                          1  0 i84-103o
O51708                          2  0 i76-93o99-119i
O51710                          0  0 o
O51718                          0  0 o
O51722                          0  0 o
O51729                          2  0 i21-41o118-141i
O51745                          0  0 o
O51749                          0  0 o
O51757                          0  0 o
O51761                          0  0 o
O51768                          0  0 o
O51773                          0  0 o
O51777                          0  0 o
P0C922                          0  0 o
P0C923                          0  0 o
P0CL55                          0  Y n8-15c20/21o
P11089                          0  0 o
P17739                          0  Y n3-13c17/18o
P28616                          0  0 o
P33561                          0  0 o
P33768                          0  0 o
P33769                          0  0 o
P42555                          0  0 o
P45483                          0  0 o
P47714                          0  0 o
P50062                          0  0 o
P52607                          0  0 o
P53364                          0  Y n11-26c31/32o
P70828                          0  0 o
P70830                          0  0 o
P70856                          0  Y n8-19c24/25o
P70870                          0  0 o
P94268                          0  0 o
P94270                          0  0 o
P94282                          0  0 o
P94283                          0  0 o
Q44758                          0  0 o
Q44772                          0  0 o
Q44775                         10  0 i12-34o46-63i75-95o101-126i138-155o161-177i184-202o270-290i302-326o332-354i
Q44776                         10  0 o12-37i63-82o88-106i126-144o164-184i191-210o230-247i259-275o281-302i329-348o
Q44777                          0  0 o
Q44840                          0  0 o
Q44912                          2  0 i25-44o471-493i
Q44951                          0  Y n6-11c16/17o
Q45010                          0  Y n4-16c20/21o
Q45047                          0  0 o
Q57209                          0  0 o
Q57267                          0  0 i
Q59180                          0  0 i
Q59181                          0  0 o
Q59182                          0  0 o
Q59185                          0  0 o
Q59188                          4  0 i12-34o46-70i82-107o113-131i
Q59189                          0  0 o
Q59191                          0  0 o
Q9R3N4                          0  0 o
H7C7N2                          0  Y n6-17c21/22o
H7C7N8                          0  Y n9-20c24/25o
H7C7P1                          0  Y n6-15c20/21o
O30913                          0  0 o
O50162                          0  0 o
O50164                          0  0 o
O50667                          1  0 i279-300o
O50718                          0  0 o
O50821                          0  0 o
O50860                          0  Y n9-18c22/23o
O50977                          0  0 o
O50979                          0  0 o
O50980                         12  0 i31-52o79-98i110-129o149-174i195-215o235-257i264-281o301-320i332-353o359-380i387-404o410-430i
O50981                          0  0 o
O51043                          0  0 o
O51053                          0  0 o
O51056                          0  0 o
O51061                          2  0 i20-44o56-73i
O51062                          1  0 i40-63o
O51064                          0  0 o
O51069                          0  0 o
O51071                          0  0 i
O51079                          7  0 o6-25i30-46o52-73i85-106o118-138i158-183o195-217i
O51081                          1  0 o163-180i
O51082                          0  0 o
O51083                          2  0 o6-25i52-74o
O51087                          0  0 o
O51088                          0  0 o
O51089                          0  0 o
O51091                          0  Y n3-13c17/18o
O51092                          0  0 o
O51101                          0  0 o
O51111                          0  0 o
O51119                          0  0 o
O51120                          0  0 o
O51121                          0  0 o
O51123                          0  0 o
O51127                          0  0 o
O51128                          0  0 o
O51134                          0  0 o
O51138                          0  0 o
O51139                          0  0 o
O51140                          0  0 i
O51141                          0  0 o
O51142                          0  0 o
O51145                          6  0 o6-25i98-127o306-324i336-356o362-389i401-422o
O51146                          0  0 o
O51147                          0  0 o
O51148                          0  0 o
O51149                          0  0 o
O51154                          0  0 o
O51155                          0  0 o
O51157                          0  0 o
O51160                          0  0 o
O51175                          0  0 o
O51188                          0  0 o
O51191                          0  0 o
O51201                          0  0 o
O51202                          0  0 o
O51204                          0  0 i
O51207                          0  0 i
O51208                          0  0 o
O51214                          0  0 o
O51216                          0  0 o
O51221                          1  0 i12-35o
O51222                          1  0 i12-35o
O51229                          0  0 o
O51232                          0  0 o
O51234                          8  0 i20-39o72-105i117-142o154-176i188-206o212-234i241-258o270-292i
O51235                          5  0 o272-293i305-329o335-353i385-406o449-471i
O51239                          0  0 o
O51240                          0  0 o
O51247                          0  0 i
O51251                          0  0 o
O51264                          0  0 o
O51267                          0  0 o
O51271                          0  0 o
O51278                          0  0 o
O51286                          0  0 o
O51313                          0  0 o
O51314                          0  0 o
O51316                          0  0 o
O51317                          0  0 o
O51318                          0  0 o
O51319                          0  0 o
O51325                          0  0 o
O51333                          0  0 o
O51337                          7  0 o15-36i57-78o98-124i136-155o212-233i240-259o286-309i
O51339                          0  0 o
O51340                          0  0 o
O51341                          0  Y n4-15c20/21o
O51347                          0  0 i
O51351                          0  0 o
O51352                          0  0 o
O51353                          0  0 i
O51354                          0  Y n6-14c19/20o
O51355                          0  0 o
O51356                          1  0 o30-55i
O51357                          0  0 i
O51368                          0  0 o
O51369                          9  0 o298-318i339-358o378-398i410-434o454-476i497-519o531-550i557-576o596-616i
O51376                          0  0 o
O51380                          0  0 o
O51381                          2  0 o6-25i716-737o
O51383                          0  0 o
O51388                          1  0 o6-25i
O51395                          0  0 o
O51398                          7  0 o12-33i321-337o343-363i409-429o471-489i501-517o523-539i
O51399                          0  0 o
O51406                          0  0 o
O51411                          0  0 o
O51417                          0  0 o
O51424                          0  0 o
O51438                          0  0 i
O51439                          0  0 o
O51440                          0  0 i
O51441                          0  0 o
O51442                          0  0 i
O51443                          0  0 o
O51445                          0  0 o
O51446                          0  0 i
O51447                          0  0 i
O51449                          0  0 i
O51450                          0  0 o
O51451                         10  0 i18-36o71-93i114-133o145-166i178-199o211-230i263-282o302-320i361-382o394-415i
O51452                          0  0 i
O51453                          0  0 o
O51454                          0  0 o
O51456                          0  0 i
O51457                          1  0 o6-23i
O51461                          0  0 o
O51468                          0  0 o
O51484                          0  0 o
O51494                          0  Y n8-16c21/22o
O51507                          0  0 o
O51515                          0  0 o
O51518                          0  0 o
O51526                          1  0 i326-349o
O51534                          0  Y n4-15c23/24o
O51535                          0  0 o
O51540                          0  0 o
O51549                         12  0 o6-23i28-45o65-82i103-121o127-150i187-206o212-231i238-257o277-298i325-343o363-380i482-499o
O51550                          0  Y n2-13c18/19o
O51551                          0  0 o
O51552                          0  0 o
O51553                          0  0 o
O51560                          0  0 i
O51565                          0  0 o
O51580                          0  0 o
O51588                          0  0 o
O51589                          0  0 o
O51592                          0  0 o
O51595                          1  0 o20-40i
O51597                          6  0 i12-31o137-158i165-186o192-213i243-260o272-295i
O51603                          0  0 o
O51619                          0  0 o
O51623                          1  Y n10-28c33/34o354-371i
O51628                          1  0 o347-367i
O51629                          0  0 o
O51631                          1  0 o20-39i
O51634                          0  0 o
O51637                          0  0 o
O51638                          0  0 i
O51639                          0  0 o
O51640                          0  0 o
O51641                          0  0 o
O51642                          0  0 o
O51646                          0  0 i
O51647                          0  0 o
O51652                          0  Y n8-26c34/35o
O51657                          0  0 o
O51658                          0  0 o
O51661                         12  0 i7-27o47-64i71-92o98-121i133-153o159-175i180-199o219-240i249-267o344-365i377-398o410-431i
O51663                          4  0 i20-49o84-106i136-154o174-201i
O51676                          0  0 o
O51677                          0  Y n15-25c36/37o
O51679                          0  0 o
O51709                          0  Y n17-28c41/42o
O51712                          0  0 o
O51713                          0  Y n4-12c17/18o
O51715                          0  Y n4-12c16/17o
O51719                          0  0 o
O51721                          0  0 o
O51723                          0  0 o
O51725                          0  0 o
O51726                          0  0 i
O51727                          0  0 o
O51728                          0  0 o
O51733                          0  0 o
O51737                          0  0 o
O51739                          0  0 o
O51740                          0  0 o
O51741                          0  0 o
O51742                          0  0 i
O51743                          0  0 o
O51744                          0  0 i
O51750                         13  0 o6-24i83-106o121-147i154-175o181-210i231-252o264-287i308-327o347-365i377-400o406-424i436-457o472-494i
O51759                          0  0 o
O51769                          0  0 o
O51781                          0  0 o
O51782                          0  0 o
P0C925                          0  0 o
P0CL63                          0  Y n4-15c19/20o
P0CL65                          0  Y n5-15c19/20o
P0CL67                          0  Y n11-22c27/28o
P0DV83                          0  Y n8-19c24/25o
P28609                          0  0 o
P29220                          0  0 i
P33761                          0  0 o
P49394                          0  0 i
P50069                          1  0 i80-100o
P52323                          0  0 o
P52608                          0  0 o
P52609                          0  0 o
P52610                          0  0 o
P52611                          0  0 o
P53362                          0  0 o
P53363                          0  0 o
P70827                          0  0 o
P70859                          0  0 o
P94250                          1  0 i375-398o
P94266                          0  0 i
P94267                          0  0 o
P94269                          0  0 o
P94271                          0  0 i
P94272                          0  0 i
P94273                          0  0 o
P94284                          0  0 o
Q44737                          0  0 o
Q44760                          5  0 o52-71i92-113o119-135i155-180o200-228i
Q44763                          5  Y n7-18c23/24o47-74i95-112o175-193i200-221o233-250i
Q44767                          0  0 o
Q44773                          0  0 o
Q44774                          0  0 o
Q44848                          0  0 o
Q44902                          4  0 i7-30o36-56i152-172o178-200i
Q44903                          0  0 o
Q44904                          1  Y n6-17c22/23o66-83i
Q44906                          2  0 i17-39o51-70i
Q44907                          7  0 i12-31o37-58i70-91o97-120i132-154o174-207i219-239o
Q44909                          8  0 i21-39o45-63i70-90o110-140i211-230o250-268i289-305o311-330i
Q45011                          0  Y n3-12c17/18o
Q45013                          0  Y n5-15c22/23o
Q57442                          1  0 o26-51i
Q57466                          0  0 o
Q57511                          0  0 o
Q9RZZ0                          0  Y n6-15c20/21o
Q9S043                          0  Y n6-15c20/21o
Q9S069                          0  Y n6-15c20/21o
Q9S083                          0  Y n6-15c20/21o
Q9S0B7                          0  Y n6-15c20/21o
Q9S0E8                          0  Y n6-15c20/21o
Q9S0H7                          0  Y n6-15c20/21o
G5IXG8                          0  0 o
G5IXG9                          1  0 i20-37o
G5IXH0                          1  0 i7-27o
G5IXH1                          1  0 o27-48i
G5IXH2                          0  0 o
G5IXH3                          0  0 i
G5IXH4                          0  0 i
G5IXH5                          0  0 o
G5IXH6                          0  0 i
G5IXH7                          0  Y n8-16c21/22o
G5IXH9                          0  0 o
G5IXI0                          0  0 o
G5IXI1                          0  Y n3-14c19/20o
G5IXI2                          2  0 i7-25o31-58i
G5IXI3                          1  0 o48-76i
G5IXI4                          1  0 o20-35i
G5IXI5                          0  0 i
G5IXI6                          0  Y n8-19c23/24o
G5IXI7                          0  0 o
G5IXI8                          2  0 i185-203o215-239i
G5IXI9                          0  0 o
G8JZS0                          0  Y n12-23c28/29o
H7C7K4                          0  Y n5-16c20/21o
H7C7K5                          0  0 o
H7C7K6                          0  Y n5-15c19/20o
H7C7K7                          0  0 o
H7C7K8                          0  Y n10-20c24/25o
H7C7K9                          0  0 o
H7C7L0                          0  0 o
H7C7L1                          6  0 i9-30o98-122i134-156o176-195i234-256o276-299i
H7C7L2                          0  0 o
H7C7L3                          0  Y n5-16c20/21o
H7C7L4                          0  Y n6-16c24/25o
H7C7L5                          1  0 i179-200o
H7C7L6                          0  Y n7-17c24/25o
H7C7L7                          0  Y n4-15c23/24o
H7C7L8                          0  Y n7-18c22/23o
H7C7L9                          1  0 i12-35o
H7C7M0                          1  0 o183-202i
H7C7M1                          0  Y n5-16c24/25o
H7C7M2                          0  Y n3-11c17/18o
H7C7M3                          0  Y n8-18c26/27o
H7C7M4                          0  0 o
H7C7M5                          0  0 o
H7C7M6                          0  0 o
H7C7M7                          0  0 o
H7C7M8                          0  Y n5-16c20/21o
H7C7M9                          0  Y n5-13c20/21o
H7C7N0                          0  0 o
H7C7N1                          0  0 o
H7C7N3                          0  Y n9-17c22/23o
