# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
O51076	OTHER	0.000477	0.999523	
O51312	OTHER	0.001221	0.998779	
P70826	OTHER	0.001329	0.998671	
Q07337	SP(Sec/SPI)	0.965472	0.034528	CS pos: 23-24. NSG-KD. Pr: 0.3234
O51125	OTHER	0.000388	0.999612	
O51173	OTHER	0.000334	0.999666	
O51263	OTHER	0.000839	0.999161	
O51396	OTHER	0.000395	0.999605	
O51418	OTHER	0.000174	0.999826	
O51522	OTHER	0.158396	0.841604	
O51578	OTHER	0.000386	0.999614	
O51752	OTHER	0.009347	0.990653	
O51767	OTHER	0.000357	0.999643	
P0CL64	OTHER	0.001718	0.998282	
P0CL66	SP(Sec/SPI)	0.993435	0.006565	CS pos: 23-24. VSS-LD. Pr: 0.5728
P46795	OTHER	0.000642	0.999358	
P49058	OTHER	0.000775	0.999225	
Q45032	OTHER	0.000315	0.999685	
Q59190	OTHER	0.001093	0.998907	
O07497	OTHER	0.000701	0.999299	
O30563	OTHER	0.000623	0.999377	
O30564	OTHER	0.001576	0.998424	
O50161	OTHER	0.000145	0.999855	
O50163	OTHER	0.001676	0.998324	
O50917	SP(Sec/SPI)	0.530710	0.469290	CS pos: 30-31. TGA-TK. Pr: 0.4057
O50965	OTHER	0.000614	0.999386	
O51038	OTHER	0.000869	0.999131	
O51041	OTHER	0.000287	0.999713	
O51057	OTHER	0.000411	0.999589	
O51066	OTHER	0.000711	0.999289	
O51075	OTHER	0.001433	0.998567	
O51103	OTHER	0.000274	0.999726	
O51114	OTHER	0.118277	0.881723	
O51115	OTHER	0.000731	0.999269	
O51126	OTHER	0.001317	0.998683	
O51132	OTHER	0.023511	0.976489	
O51182	OTHER	0.000289	0.999711	
O51218	OTHER	0.192061	0.807939	
O51219	OTHER	0.001351	0.998649	
O51233	SP(Sec/SPI)	0.960180	0.039820	CS pos: 19-20. YNC-KN. Pr: 0.2658
O51236	OTHER	0.000348	0.999652	
O51238	OTHER	0.001045	0.998955	
O51243	OTHER	0.000528	0.999472	
O51244	OTHER	0.000613	0.999387	
O51253	SP(Sec/SPI)	0.815149	0.184851	CS pos: 19-20. TLA-IP. Pr: 0.7318
O51257	OTHER	0.001828	0.998172	
O51265	OTHER	0.132917	0.867083	
O51266	OTHER	0.005536	0.994464	
O51273	OTHER	0.008394	0.991606	
O51293	OTHER	0.000344	0.999656	
O51323	OTHER	0.001927	0.998073	
O51338	OTHER	0.000397	0.999603	
O51343	OTHER	0.002211	0.997789	
O51344	OTHER	0.001635	0.998365	
O51345	OTHER	0.000709	0.999291	
O51348	OTHER	0.000922	0.999078	
O51349	OTHER	0.001169	0.998831	
O51363	OTHER	0.000575	0.999425	
O51378	OTHER	0.000592	0.999408	
O51401	OTHER	0.001497	0.998503	
O51402	OTHER	0.000251	0.999749	
O51413	OTHER	0.000379	0.999621	
O51419	OTHER	0.000724	0.999276	
O51423	OTHER	0.000393	0.999607	
O51425	OTHER	0.031901	0.968099	
O51428	OTHER	0.002694	0.997306	
O51444	OTHER	0.000769	0.999231	
O51448	OTHER	0.000754	0.999246	
O51455	OTHER	0.001001	0.998999	
O51477	OTHER	0.001694	0.998306	
O51497	OTHER	0.006171	0.993829	
O51498	OTHER	0.000545	0.999455	
O51502	OTHER	0.000365	0.999635	
O51508	OTHER	0.000226	0.999774	
O51509	OTHER	0.018231	0.981769	
O51519	OTHER	0.034272	0.965728	
O51528	OTHER	0.001671	0.998329	
O51532	OTHER	0.002140	0.997860	
O51536	OTHER	0.001413	0.998587	
O51544	OTHER	0.000330	0.999670	
O51545	OTHER	0.001640	0.998360	
O51547	OTHER	0.000591	0.999409	
O51555	OTHER	0.000923	0.999077	
O51556	OTHER	0.000409	0.999591	
O51557	OTHER	0.002854	0.997146	
O51558	OTHER	0.000680	0.999320	
O51563	OTHER	0.000744	0.999256	
O51567	OTHER	0.000745	0.999255	
O51568	OTHER	0.000111	0.999889	
O51571	OTHER	0.000342	0.999658	
O51575	OTHER	0.001469	0.998531	
O51577	OTHER	0.000510	0.999490	
O51581	OTHER	0.000458	0.999542	
O51587	OTHER	0.000344	0.999656	
O51601	OTHER	0.000523	0.999477	
O51602	OTHER	0.001538	0.998462	
O51604	OTHER	0.003025	0.996975	
O51624	OTHER	0.016748	0.983252	
O51625	OTHER	0.183585	0.816415	
O51627	OTHER	0.000534	0.999466	
O51645	OTHER	0.000960	0.999040	
