ID	Evidences length	Evidences list	Complete evidences
O51522	1	TM	TM
O51752	1	TM	TM
O50917	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51041	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51114	1	TM	TM
O51253	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51265	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51266	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51273	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51425	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51532	1	PHOBIUS_TM	PHOBIUS_TM
O51624	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51674	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51698	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51708	1	PHOBIUS_TM	PHOBIUS_TM
O51729	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44775	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44776	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44912	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q59188	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7N8	1	TM	TM
O50667	1	PHOBIUS_TM	PHOBIUS_TM
O50980	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51061	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51062	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51079	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51081	1	PHOBIUS_TM	PHOBIUS_TM
O51083	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51089	1	GPI	GPI
O51145	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51221	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51222	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51234	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51235	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51337	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51356	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51369	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51381	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51388	1	PHOBIUS_TM	PHOBIUS_TM
O51398	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
