SeqID	Localization	Score
O51522 	Cytoplasmic	9.97
O51752 	Cytoplasmic	9.97
O50917 	Cytoplasmic	8.96
O51041 	Cytoplasmic	8.96
O51114 	Unknown	6.49
O51253 	CytoplasmicMembrane	10.00
O51265 	CytoplasmicMembrane	10.00
O51266 	CytoplasmicMembrane	10.00
O51273 	CytoplasmicMembrane	10.00
O51425 	CytoplasmicMembrane	10.00
O51532 	Cytoplasmic	9.26
O51624 	CytoplasmicMembrane	10.00
O51674 	CytoplasmicMembrane	9.82
O51698 	Cytoplasmic	9.26
O51708 	CytoplasmicMembrane	7.88
O51729 	CytoplasmicMembrane	10.00
Q44775 	CytoplasmicMembrane	10.00
Q44776 	CytoplasmicMembrane	10.00
Q44912 	Cytoplasmic	9.12
Q59188 	CytoplasmicMembrane	10.00
H7C7N8 	OuterMembrane	9.52
O50667 	CytoplasmicMembrane	7.63
O50980 	CytoplasmicMembrane	10.00
O51061 	CytoplasmicMembrane	9.82
O51062 	CytoplasmicMembrane	7.88
O51079 	CytoplasmicMembrane	10.00
O51081 	Unknown	2.00
O51083 	CytoplasmicMembrane	9.82
O51089 	Cytoplasmic	8.96
O51145 	CytoplasmicMembrane	10.00
O51221 	Cytoplasmic	8.96
O51222 	Cytoplasmic	8.96
O51234 	CytoplasmicMembrane	10.00
O51235 	CytoplasmicMembrane	10.00
O51337 	CytoplasmicMembrane	10.00
O51356 	CytoplasmicMembrane	9.82
O51369 	CytoplasmicMembrane	10.00
O51381 	Unknown	5.41
O51388 	Cytoplasmic	8.96
O51398 	CytoplasmicMembrane	9.81
O51451 	CytoplasmicMembrane	10.00
O51457 	Cytoplasmic	8.96
O51526 	Cytoplasmic	9.97
O51549 	CytoplasmicMembrane	10.00
O51595 	CytoplasmicMembrane	10.00
O51597 	CytoplasmicMembrane	10.00
O51623 	CytoplasmicMembrane	7.88
O51628 	Cytoplasmic	8.96
O51631 	Unknown	2.00
O51652 	Cytoplasmic	9.26
